Product_name,rating,product_color,user_name,review_title,review_discription,review_dated
"Safari Thorium Neo 8 Wheels 66 Cm Medium Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",1.0 out of 5 stars,Neo-BlackSize: CheckIn | 77 cm | Large,Amazon Customer,Not recommended,I received this package on time. Product was delivered in the original packaging but had a big scratch on the suitcase. Overall the suitcase seems to be very flimsy. Will be returning the product.,22 August 2024
"Safari Thorium Neo 8 Wheels 66 Cm Medium Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",1.0 out of 5 stars,Neo-Graphite BlueSize: Set of 3 ( 55 cm/66 cm/77 cm),Shivani,Damaged product have been delivered,"The media could not be loaded.
                



I have rreceived damaged product and even the wheels of the bag are not in good shape. Cabin bag is not even standing properly.",22 August 2024
"Safari Thorium Neo 8 Wheels 66 Cm Medium Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",1.0 out of 5 stars,Neo-BlackSize: Cabin | 55 cm | Small,Minu Abin,Easily got damaged,Lock system got damaged within few months of purchase..No customer care support till now after many try,21 August 2024
"Safari Thorium Neo 8 Wheels 66 Cm Medium Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",5.0 out of 5 stars,Neo-Graphite BlueSize: Cabin | 55 cm | Small,"Sanjay Singh, SIROHI",Safari Trali bag.,,21 August 2024
"Safari Thorium Neo 8 Wheels 66 Cm Medium Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",1.0 out of 5 stars,Neo-BlackSize: CheckIn | 66 cm | Medium,Bhawna choudhary,Lock khul hi nahi rahi,Na pasand lock ka password kya haiलॉक खुल ही नहीं रहा है कैसा प्रोडक्ट बनाया है,21 August 2024
"Safari Thorium Neo 8 Wheels 66 Cm Medium Check-in Trolley Bag Hard Case Polycarbonate 360 Degree Wheeling System Luggage, Trolley Bags for Travel, Suitcase for Travel, Graphite Blue",1.0 out of 5 stars,Neo-BlackSize: CheckIn | 66 cm | Medium,Kishor Gote,Handle isn't strong.,"Dislike,one handle broken.l am very upset . Anyone Don't buy.",21 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",1.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),shiva,Useless car perfume,Lost its smell in 2 days,23 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",4.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),A R Shankar,Best car air freshner,"I loved the cute packing, attractive container and best musk fragrance.",23 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",1.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),"Smell is really bad, my expectations was high but this product is really waste of money.  I genuinely recommend don't buy this product.","Waste of money,  not good smell or long lasting","Waste of money,  my expectations was high . Really bad smell , I don't recommend this",23 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",4.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),Nani Reporter,Car Perfume?,Nothing much to write home about the product.,22 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",3.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),Piyush,Good Product,Meh.....good product.,22 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",5.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),Grand pitstop,Value for money,Really good fragrance,21 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",5.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),Vimal Parmar,Excellent product and services,Excellent product and services,21 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",5.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),very good smell,nitheeshkrishnan93@gmail.com,very good product,21 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",1.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),Anand Zala,Quality,"It's fragrance is not good also, not effective. Not a value pack for its money.",21 August 2024
"Involve Your Senses One Musk Organic Car Perfume, Involve Your Senses Strong Fiber Air Freshener to Freshen'up Your Car - IONE01-40 g,Car Accessories interior car perfumes and fresheners",1.0 out of 5 stars,Scent Name: MuskSize: 40 g (Pack of 1),Amazon Customer,bekar hai,poor quility no fragrence sirf dabba hai,21 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",5.0 out of 5 stars,Coral,Srilekha Puppala,Lovely,I bought this for my mum and she loves it. Received the exact color. Enough space is there. It's waterresistant. Very light.,23 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",5.0 out of 5 stars,Black,Shruti Priya,Good Quality Product,Material is very good at such a reasonable price,22 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",1.0 out of 5 stars,Black,Subhashis D.,Shoulder Pad torn. Kindly arrange replacement.,The shoulder pad tore. Poor Quality. Kindly arrange replacement.,21 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",1.0 out of 5 stars,Black,Sabareesh,Fake branding,This bag is not original bag from skybags and the quality of the bag is not so goodSo don't waste your money in this,21 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",5.0 out of 5 stars,Red,"I have used this product of (Pehle jaisa) in my flower pots and found it very effective. I definitely recommend this product to all, its really good.",Bag,Thank you so much for this bag,21 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",1.0 out of 5 stars,Navy,Amazon Customer,Want to return the product,Not expected size,21 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",1.0 out of 5 stars,Black,Girish parmar,Material kharab hai,Bag ka material bahut kharab hai,20 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",5.0 out of 5 stars,Black,Prashanth,Good,Water resistant,20 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",4.0 out of 5 stars,Black,Iram,Product quality,Its color and durability is amazing i loved it ❤️ and in this range it is more valuable ❤️❤️ ❤️❤️,20 August 2024
"Skybags Casual Standard Backpack 28L, 2 Main Compartments, Bottle Pocket, Front Pocket, Padded Shoulder Straps | Black | Brat",5.0 out of 5 stars,Navy,Venkatesan S,Back bag,Value for money,19 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,1.0 out of 5 stars,Style Name: Pack of 24 (with window),Asha s.,Oredred window covers received normal covers,I ordered 24 window covers I received only 6window covers rest all were normalI needed it for shifting purpose so urgently so could not replace it or return it,22 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,1.0 out of 5 stars,Style Name: Pack of 6 (with window),P. S.,Non Durable Material - Don't Buy,"Material is non durable, look is good but material is poor. It will surely be worn out in a matter of use of 1or 2 times. Very poor fabric.",21 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,4.0 out of 5 stars,Style Name: Pack of 6 (with window),Anonymousamazonbuyer,Good product,Good quality and very affordable,21 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,1.0 out of 5 stars,Style Name: Pack of 6 (with window),ARUN SHAH,BAD,BAD,21 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,4.0 out of 5 stars,Style Name: Pack of 6 (with window),Venkatesh N S.,Large size,Good large size,20 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,4.0 out of 5 stars,Style Name: Pack of 6 (with window),Roshan,fine product,It's nice,20 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,5.0 out of 5 stars,Style Name: Pack of 6 (with window),sonali,The material of the shoe bag and the correct size,The material of the shoe bag is good,20 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,3.0 out of 5 stars,Style Name: Pack of 6 (with window),Preeshita dey,Looks very good but quality is not good,I used it for few days and one of the bag got torn,19 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,4.0 out of 5 stars,Style Name: Pack of 6 (with window),Placeholder,Keep your shoes In best condition,This is the best way to keep your shoes neat clean and in shape . These bags are quiet handy.,19 August 2024
Boldfit Shoe Bag for Travel & Storage Travel Organizer for Women & Men Travel Accessories Shoe Organizer Shoe Bags Pouches Travel Shoe Cover for Travelling Travel Essentials - Pack of 6 Shoe Pouch,5.0 out of 5 stars,Style Name: Pack of 6 (with window),Amazon Customer,Useful for travel,Good and useful bags.,17 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,5.0 out of 5 stars,Grey Pack of 4 340 gsm,Vijay tadepalli,nice,serves the purpose,23 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,5.0 out of 5 stars,40X40 Pack of 4 500 gsm,Muthanand,Great quality,Absorbs dust and water perfectly.Dries out quickly.,23 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,5.0 out of 5 stars,Grey Pack of 4 340 gsm,Jasmin Pethani,Very useful product,"Very useful product helping every glass, laptop, mobile cleaning",22 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,3.0 out of 5 stars,Grey Pack of 4 340 gsm,Pankaj Kumar aud,Microfiber for car,Didt like quality,22 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,5.0 out of 5 stars,35X75 Pack of 4 500 gsm,Lazarus Cornelius,Very good product,After using all kinds of rags to clean the car which did not do a good job this microfiber cloth is ideal to clean my car with minimum water. Would recommend this for anyone .,22 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,1.0 out of 5 stars,Grey Pack of 4 340 gsm,Amazon Customer,Waste,Not suggestable,22 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,5.0 out of 5 stars,40X40 Pack of 4 500 gsm,mozzam khan,Quality,This is a very light weight and best quality and very good performance,22 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,3.0 out of 5 stars,20X30 Pack of 5 500 gsm,Ashwin binu,Size is a bit small,"You would get 5 pieces but the size is bit small, if you need it for cleaning indoor glasses or other areas it will work fine, but you really need a bigger size for washing or cleaning your vehicles, be it car or bike. I suggest to get a bigger sized one",21 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,4.0 out of 5 stars,Grey Pack of 4 340 gsm,Sarin kumar,Super,Super,20 August 2024
SOFTSPUN Microfiber Cloth - 4 pcs - 40x40 cms - 340 GSM Grey! Thick Lint & Streak-Free Multipurpose Cloths - Automotive Microfibre Towels for Car Bike Cleaning Polishing Washing & Detailing.…,3.0 out of 5 stars,Grey Pack of 4 340 gsm,Swaminathan,Ok,Water not absorbed properly water stain visibled,20 August 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",1.0 out of 5 stars,Capacity: 4TB,Harsh Vardhan Sharma,"Fragile. If it drops, it is dead.","Fragile. If it drops, it is dead.",21 August 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",5.0 out of 5 stars,Capacity: 1TB,Prajwal D.,Great product,Great storage productGreat connection to pc/laptopGreatly compatibe,17 August 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",5.0 out of 5 stars,Capacity: 1TB,Navin,Always a reliable brand when it comes to data storage,Always a reliable brand when it comes to data storage,3 August 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",3.0 out of 5 stars,Capacity: 2TB,S.M.S.,Good quality with high price,Good quality with high priceConnectivity is with moderate speed and compible with major devices,28 July 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",5.0 out of 5 stars,Capacity: 2TB,harsh aryan,Very good product,Use of money,27 July 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",1.0 out of 5 stars,Capacity: 5TB,Nathan Dias,HDD failed the same day I received it.,I used to always go for WD HDDs and SSDs but this is my second WD HDD to prematurely fail. Really disappointed with the lack of QC from WD.,27 July 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",1.0 out of 5 stars,Capacity: 2TB,Zebedeo,Hanging Issues,"The most significant drawback I've encountered is the frequent hanging of the drive. During data transfers, file browsing, and even regular use, the drive often becomes unresponsive, requiring disconnection and reconnection. also the file I have transferred got corrupted also",23 July 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",5.0 out of 5 stars,Capacity: 1TB,Anonymous,Worth the buy,The product is durable,23 July 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",1.0 out of 5 stars,Capacity: 2TB,Sachin,Malfunctioning drive,worst product. stopped  and there is no recovery option. I lost money in it.,22 July 2024
"Western Digital WD 2TB Elements Portable Hard Disk Drive, USB 3.0, Compatible with PC, PS4 and Xbox, External HDD (WDBHDW0020BBK-EESN)",4.0 out of 5 stars,Capacity: 2TB,TITUS SAMUEL,Good portable hardisk.,"I have been using a harddisk of 1.5 TB for a long time and that's why I bought it again.  It is a good product.  This time I am giving only 4 stars because the method of sending the product was not safe.  The disc's official box was dirty.  It looks like a used product.  It is not good to send such an expensive item without responsibility.  At least I believe Amazon will take care of that.  otherwise good harddisk.Ease use, good storage, comfort,",19 July 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Sandeep Kumar,Microphone stopped working during the call,I have been using this headphone for my teams meeting since last one month and the microphone suddenly stopped working during calls. This is a really strange situation for me. I would not recommend this headphone in this budget.,1 August 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Ruchi,There is no background noise cancellation,It's not working properly.  There is no background noise cancellation and infact it's creating so much disturbance during the call.,29 July 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",4.0 out of 5 stars,BlackPattern Name: Headphones,Sachin,Awesome product,Very good product. Awsome audio quality and excellent noise cancelation.,27 July 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",5.0 out of 5 stars,BlackPattern Name: Headphones,Virinder Kaur,Good,Good,6 July 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Naushad Patel,Very bad product and very very bad Amazon Service,Very bad product and very very bad Amazon Service,26 June 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",4.0 out of 5 stars,BlackPattern Name: Headphones,Piyush Jain,Well suited headphones,Amazing headset with comfortable fitting for long hours. Very crisp sound without any noise. Seems like it filters the noise. Great noise cancellation. Even tv plays but the person on other end doesn't hear the background noise.,26 June 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Amazon Customer,Still could hear background noise,Pathetic one word is good and not worth your money,25 June 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Kalyani Raut,WASTE OF MONEY - Worst product,"This product is too small for normal ears.Not happy with Amazon's service, as refund was denied. I had to keep the product worth of 4k rupee which is of no use for me.Amazon customer service was also very pathetic and hence, do not buy this product from Amazon.",18 June 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Amazon_User,Mic was very loose,Received a faulty piece where the mic of the headset was very loose,18 June 2024
"Logitech H390 Wired On Ear Headset for PC/Laptop, Stereo Headphones with Noise Cancelling Microphone, USB-A, In-Line Controls, Works with Chromebook",1.0 out of 5 stars,BlackPattern Name: Headphones,Nikhil,worst noice cancellation,i recommend not to buy this. The mic of this headphones is not as expected,31 May 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Kindle Customer,,"Required to use a MacBook at work. Significant lag experienced across multiple MacBook devices despite ensuring the latest drivers, trying their invasive Options software, and minimizing potential interference with the receiver. Known issue going back a decade.I'm buying a mouse that costs half the price but works instead.",Reviewed in the United States on 22 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Clayton Myers,,"Unusable for me. The tracking randomly jumps or lags. Just trying to use for work. Was hoping to have a wireless mouse, but this ain’t it. Perhaps it’s due to the external hub, but that’s necessary with MacBooks. Guess I’ll try Bluetooth or old school wired.",Reviewed in the United States on 21 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Scottie Adams,,Everything was excellent. Timing was perfect. I couldn’t be more happier,Reviewed in the United States on 21 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Doesn’t have bluetooth,,The description is misleading and it can only be set up with the receiver. Mind if you have only type C ports!,Reviewed in the United States on 20 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Basil Akers,,"Bizdudes on Amazon Leadership PrinciplesJeff Bezos developed Amazon into an outstanding company that saves its customers an outstanding amount of time and money. Amazon’s Leadership Principles have nothing to do with Amazon’s espoused leadership principles. Amazon’s success has all to do with the tactics and strategy that Bezos utilized to start his business. As an employee of DE Shaw, Bezos transitioned into the banking industry when he became a product manager at Bankers Trust from 1988 to 1990. He then joined D. E. Shaw & Co, a newly created hedge fund with a strong emphasis on mathematical modelling from 1990 until 1994. Bezos became D. E. Shaw's fourth senior vice-president by age 30. At D.E. Shaw, Bezos had access to a database of persons who were not computer literate but who purchased high margin products. The persons who purchased books were wives of wealthy Northeast husbands who provided their wives with funding with little concern on how they spent their allowances. Their wives spent their money on books which were high margin products.In the interim, Bezos did cultivate friends at DE Shaw, 20 of whom advanced Bexos $50,000 each and parents who advanced Bezos $246,000. Books were a vehicle but were not a goal of his Amazon enterprise. Bezos would have sold Twinkies had they been a high margin product purchased by persons of wealth with a free spending budget. Bezos is now on the welfare dole along with Elon Musk in securing government funds for ill advised space adventures.",Reviewed in the United States on 19 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,mike c.,,terrible,Reviewed in the United States on 19 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Robby Cannon,,"DOES NOT HAVE BLUETOOTH!!! The product description clearly says ""Connectivity Technology Bluetooth, USB"", but that is FALSE. It ONLY works when you use the USB dongle.",Reviewed in the United States on 18 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Gérard,,Souris pour pc 👍,Reviewed in Canada on 18 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,Karen E,,My keyboard mouse stopped working. I purchased this model as it had additional directional side buttons. I should have purchased it long ago as using it is more efficient.,Reviewed in the United States on 17 August 2024
Logitech M510 Wireless Computer Mouse for PC with USB Unifying Receiver - Graphite,,,T. Gaston,,"Aug 17, 2024 This Logitech mouse is working great.  It was easy to setup and use.  And though I didn't find instructions saying so, the receiver is housed inside the house where the batteries are.  I thought it had been lost out of the shipping box, but no, it was hidden in the battery compartment.  From there, it is easy to remove and plug into my pc, but did cause some initial confusion.  And I suppose for travel purposes, that is a nice place to put it and be able to keep up with it.  Overall, very pleased and like this mouse.",Reviewed in the United States on 17 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",1.0 out of 5 stars,Size: 500 g (Pack of 2)Pattern Name: Chicken Biscuit,Rakesh Kaul,Not good,None of the dogs liked it. Had to throw it away.,23 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",5.0 out of 5 stars,Size: 1 kg (Pack of 1)Pattern Name: Mutton&ChickenBiscuit,Ar. Kshitiz Gupta,My dog used to have like a meal,My dog usually have it like a meal.I ordered it for treat purpose,22 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",5.0 out of 5 stars,Size: 1 kg (Pack of 2)Pattern Name: Chicken Biscuit,Placeholder,Meat up dog biscuits,My fussy dog loves them and that is great,21 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",4.0 out of 5 stars,Size: 1 kg (Pack of 1)Pattern Name: Mutton&ChickenBiscuit,H R P,🤓,Good thing,20 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",5.0 out of 5 stars,Size: 2 kg (Pack of 1)Pattern Name: Biscuit,vinay,High quality food nice go for it !!,"My golden retriever furry baby loves the biscuit and I used to regularly purchase meet up biscuit it is awesome and overall you can blind you go for it so there is no allergic or any kind of symptoms you would get, you can blindly go for it it's a good treat for your furry baby",20 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",1.0 out of 5 stars,Size: 500 g (Pack of 2)Pattern Name: Chicken Biscuit,Rajesh Maurya,Not good for gut,"The stomach gets upset, not good for gut",19 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",5.0 out of 5 stars,Size: 1 kg (Pack of 2)Pattern Name: Chicken Biscuit,Christopher,Taste seems good!,The taste seems to be good my pet liked it.,18 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",4.0 out of 5 stars,Size: 1 kg (Pack of 2)Pattern Name: Chicken Biscuit,Krishnendu,Product and price,Product is good and also reasonable price ..,13 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",5.0 out of 5 stars,Size: 1 kg (Pack of 2)Pattern Name: Chicken Biscuit,Shyla,Good,My dog loves it,12 August 2024
"Meat Up Dog Treats Biscuit Real Chicken Flavour, All Life Stages, 1Kg ,Total 2 Kg Pack",4.0 out of 5 stars,Size: 500 g (Pack of 2)Pattern Name: Chicken Biscuit,Reshma,Tasty,My dog like it,10 August 2024
